Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1.8,2,2.3,2.7,4.1,6.9,8.6,9.8,11.8
"12–15 years",3,3.5,4,4.7,6.7,10.3,12.9,14.8,18.2
"16–19 years",4.2,4.7,5.2,6.2,8.2,12.2,16,18.4,22
"20–39 years",4.9,5.8,6.5,7.8,11.6,16.7,20.3,22.8,27.6
"40–59 years",5.8,7.3,8.2,10.2,14.3,19.5,22.8,25.2,29
"60–79 years",7.4,8.9,10.1,11.8,15.1,18.8,21.5,23.3,26.6
"80 years and older",5.5,6.6,7.6,9.4,12.3,15.3,16.9,18.2,20
"20 years and older (crude)",5.5,6.7,7.7,9.4,13.6,18.2,21.3,23.8,27.6
