Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",15182,93,1.1,85,5767,95,1.9,85,8001,92,1.1,84
"Under 6 years",3461,67,0.9,64,1581,71,2.1,66,1580,66,1.3,64
"6–11 years",1553,99,2.1,94,733,105,3.5,101,693,94,2.4,91
"12–19 years",1659,102,2.4,93,711,112,5,103,796,97,2.3,90
"20–59 years",5921,97,1.5,88,1939,100,2.9,87,3484,96,1.6,88
"60 years and over",2588,81,1.1,75,803,79,2.8,72,1448,81,1.1,75
