Age,"Standard error"
"All ages"
"2–11 months",–
"1–2 years"
"3–5 years",0.18
"6–11 years"
"12–15 years",1.15
"16–19 years"
"20–29 years",0.51
"30–39 years"
"40–49 years",1.95
"50–59 years"
"60–69 years",1.44
"70–79 years"
"80 years and over",1153,11,1.24
