"Cause of death","Rate (per 100000)"
"All causes",5548.7
"Diseases of heart",1820
"Malignant neoplasms",1399.4
"Cerebrovascular diseases",374.8
"Chronic lower respiratory diseases",359.1
"Influenza and pneumonia",170.9
"Diabetes mellitus",153.5
"Accidents (unintentional injuries)",104.5
"Nephritis, nephrotic syndrome and nephrosis",99.9
"Alzheimer’s disease.",98.1
Septicemia,69.7
"All other causes",898.8
