| Length  | Standard deviation |
| ------- | ------------------ |
| 45–46   | 0.37               |
| 47–48   | 0.36               |
| 49–50   | 0.36               |
| 51–52   | 0.35               |
| 45–46   | 0.39               |
| 47–48   | 0.37               |
| 49–50   | 0.36               |
| 51–52   | 0.35               |
| 65–66   | 0.69               |
| 67–68   | 1.18               |
| 69–70   | 0.91               |
| 71–72   | 0.74               |
| 73–74   | 0.79               |
| 75–76   | 0.73               |
| 77–78   | 0.86               |
| 79–80   | 0.85               |
| 81–82   | 1                  |
| 83–84   | 0.98               |
| 85–86   | 0.96               |
| 87–88   | 1.02               |
| 89–90   | 1.1                |
| 91–92   | 1.12               |
| 93–94   | 1.15               |
| 95–96   | 1.14               |
| 97–98   | 1.3                |
| 99–100  | 2.01               |
| 101–102 | 1.49               |
