"Length interval","Standard deviation"
"45–46 centimeters",0.37
"47–48 centimeters",0.36
"49–50 centimeters",0.36
"51–52 centimeters",0.35
"45–46 centimeters",0.39
"47–48 centimeters",0.37
"49–50 centimeters",0.36
"51–52 centimeters",0.35
"65–66 centimeters",0.69
"67–68 centimeters",1.18
"69–70 centimeters",0.91
"71–72 centimeters",0.74
"73–74 centimeters",0.79
"75–76 centimeters",0.73
"77–78 centimeters",0.86
"79–80 centimeters",0.85
"81–82 centimeters",1
"83–84 centimeters",0.98
"85–86 centimeters",0.96
"87–88 centimeters",1.02
"89–90 centimeters",1.1
"91–92 centimeters",1.12
"93–94 centimeters",1.15
"95–96 centimeters",1.14
"97–98 centimeters",1.3
"99–100 centimeters",2.01
"101–102 centimeters",1.49
