Age,"Standard error"
"8–11 years",40.56
"12–15 years",60.15
"16–19 years",46.44
"20–29 years",46.58
"30–39 years",45.74
"40–49 years",41.48
"50–59 years",42.53
"60–69 years",42.61
"70–79 years",44.08
"80 years and over",42.18
