| Age   | Standard error |
| ----- | -------------- |
| 8–11  | 40.01          |
| 12–15 | 38.98          |
| 16–19 | 39.93          |
| 20–29 | 36.2           |
| 30–39 | 35.04          |
| 40–49 | 35.69          |
| 50–59 | 35.96          |
| 60–69 | 38.53          |
| 70–79 | 41.56          |
| 80+   | 43.41          |
