Age,"Standard error"
"2 years",0.02
"3 years",0.02
"4 years",0.02
"5 years",0.02
"6 years",0.03
"7 years",0.04
"8 years",0.03
"9 years",0.03
"10 years",0.04
"11 years",0.04
"12 years",0.04
"13 years",0.04
"14 years",0.04
"15 years",0.04
"16 years",0.04
"17 years",0.04
"18 years",0.04
"19 years",0.04
"20 years and older",0.01
"20–29 years",0.01
"30–39 years",0.01
"40–49 years",0.01
"50–59 years",0.02
"60–69 years",0.02
"70–79 years",0.02
"80 years and older",0.02
