Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",13923,2.1,0.02,1.9,4929,2,0.05,1.7,7770,2.2,0.03,1.9
"Under 6 years",3410,1.3,0.02,1.2,1564,1.4,0.03,1.2,1548,1.3,0.03,1.2
"6–11 years",1581,1.8,0.05,1.6,713,1.8,0.08,1.6,746,1.8,0.05,1.6
"12–19 years",1462,2.3,0.08,1.9,634,2,0.09,1.7,674,2.4,0.11,2.1
"20–59 years",5019,2.3,0.03,2.1,1390,2.3,0.07,2,3226,2.3,0.03,2.1
"60 years and over",2451,2.1,0.04,1.8,628,1.7,0.06,1.4,1576,2.1,0.04,1.9
