Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",13923,10.6,0.28,8.3,4929,9.5,0.38,7.3,7770,10.9,0.3,8.6
"Under 6 years",3410,6.6,0.15,5.3,1564,6.9,0.2,5.6,1548,6.5,0.18,5.2
"6–11 years",1581,7.9,0.34,6.6,713,8.2,0.39,7,746,7.9,0.44,6.6
"12–19 years",1462,11.9,1.36,8.8,634,10,0.33,8.6,674,12.6,1.87,8.8
"20–59 years",5019,11.6,0.28,9.4,1390,11,0.81,8.2,3226,11.8,0.24,9.7
"60 years and over",2451,9.8,0.31,7.2,628,8,0.63,6,1576,10.1,0.35,7.5
