Age,"Standard error"
"8–11 years",22.44
"12–15 years",27.23
"16–19 years",25.79
"20–29 years",25.5
"30–39 years",25.58
"40–49 years",25.86
"50–59 years",26.04
"60–69 years",28.58
"70–79 years",26.52
"80 years and over",26.42
