| Age   | Standard error |
| ----- | -------------- |
| 8–11  | 20.25          |
| 12–15 | 45.94          |
| 16–19 | 39.8           |
| 20–29 | 39.93          |
| 30–39 | 40.18          |
| 40–49 | 38.33          |
| 50–59 | 39.17          |
| 60–69 | 39.76          |
| 70–79 | 38.92          |
| 80+   | 39.57          |
