Age,Mean
"All ages",16.4
"2–11 months",43.7
"1–2 years",23
"3–5 years",20.9
"6–11 years",21.6
"12–15 years",19.6
"16–19 years",18
"20–29 years",14.9
"30–39 years",14.5
"40–49 years",13.7
"50–59 years",13.7
"60–69 years",14.7
"70–79 years",14.5
"80 years and over",15.2
