Age,Mean
"All ages",14.3
"2–11 months",42.2
"1–2 years",22.1
"3–5 years",19.9
"6–11 years",19
"12–15 years",16.8
"16–19 years",14.5
"20–29 years",12.9
"30–39 years",12.7
"40–49 years",11.3
"50–59 years",11.3
"60–69 years",13.2
"70–79 years",13
"80 years and over",14.7
