Age,Divorced
"15 years and over",1009.2
"15–24 years",73.8
"25–34 years",110
"35–44 years",228.7
"45–54 years",461.2
"55–64 years",1067.4
"65–74 years",2843.4
"75 years and older",8952.7
"Age-adjusted rate",1446.7
