Age,Divorced
"15 years and over",1583
"15–24 years",164.5
"25–34 years",257.2
"35–44 years",443
"45–54 years",1115.5
"55–64 years",2237.2
"65–74 years",5182.6
"75 years and older",11525.3
"Age-adjusted rate",2304.6
