Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"3–5 months",307,41.2,0.12,*,39.5,39.7,40.1,41.2,42.2,42.6,43,*
"6–8 months",263,43.5,0.12,*,*,42.1,42.6,43.4,44.4,44.9,*,*
"9–11 months",315,44.9,0.09,*,43.2,43.6,44.1,44.9,45.8,46.2,46.5,*
"1 year",631,46.7,0.09,44.4,44.9,45.2,45.7,46.7,47.7,48.2,48.7,49.1
"2 years",582,48.4,0.08,45.9,46.6,46.9,47.4,48.4,49.3,49.8,50.1,50.7
"3 years",574,49.5,0.07,47.2,47.8,48.1,48.6,49.4,50.4,50.7,51.1,51.7
"4 years",528,49.9,0.08,*,48.1,48.5,49.1,50.1,50.9,51.5,51.7,*
"5 years",553,50.7,0.08,*,49.1,49.3,49.7,50.6,51.7,52.2,52.6,*
"6 years",269,51,0.11,*,*,49.7,50.1,50.8,52,52.4,*,*
"7 years",267,51.3,0.13,*,*,49.6,50.3,51.3,52.6,53,*,*
