Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"3–5 months",291,42.4,0.14,*,40.7,41.1,41.5,42.2,43.1,43.8,44.2,*
"6–8 months",317,44.8,0.14,*,42.9,43.2,43.8,44.8,45.9,46.3,46.5,*
"9–11 months",275,46,0.13,*,44.3,44.8,45.2,46,46.8,47.3,47.6,*
"1 year",656,47.9,0.1,45.6,46,46.4,46.8,47.8,48.8,49.5,49.9,50.3
"2 years",599,49.5,0.1,47.3,47.8,48.1,48.5,49.5,50.5,51,51.2,51.8
"3 years",495,50.3,0.1,48.2,48.7,49,49.4,50.1,51.2,51.7,52.1,52.3
"4 years",549,50.8,0.1,48.6,49.1,49.5,50,50.8,51.7,52.2,52.5,53.5
"5 years",491,51.5,0.1,49.4,49.8,50.2,50.7,51.6,52.3,52.8,53.1,53.9
"6 years",275,52,0.16,*,50,50.3,50.8,52.1,53.2,54.1,54.2,*
"7 years",261,52.5,0.14,*,50.7,51,51.5,52.6,53.3,53.7,54,*
