Age,"Standard error"
"All ages",1.3
"2–11 months",3.8
"1–2 years",2
"3–5 years",2.5
"6–11 years",2.8
"12–15 years",4.4
"16–19 years",4.5
"20–29 years",3.1
"30–39 years",3
"40–49 years",2.5
"50–59 years",6.2
"60–69 years",4.3
"70–79 years",2.1
"80 years and over",3.3
