Age,"Sample size",Mean,"Standard error",5th,25th,50th,75th,95th
"18 years and over, age-adjusted",13093,69,0.2,53,63,70,76,84
"18–39 years",7172,68,0.2,51,61,68,74,83
"40–59 years",3877,73,0.2,58,67,73,78,85
"60 years and over",2044,67,0.3,48,61,67,73,82
