Age,"Sample size",Mean,"Standard error",5th,25th,50th,75th,95th
"18 years and over, age-adjusted",13093,116,0.2,97,107,115,123,134
"18–39 years",7172,113,0.2,96,106,113,120,130
"40–59 years",3877,117,0.2,98,109,117,124,134
"60 years and over",2044,121,0.4,100,113,122,130,137
