Age,Number
"All ages",1795
"Under 1 year",3
"1-4 years",11
"5-9 years",22
"10-14 years",27
"15-19 years",168
"20-24 years",247
"25-29 years",215
"30-34 years",209
"35-39 years",222
"40-44 years",197
"45-49 years",137
"50-54 years",92
"55-59 years",63
"60-64 years",38
"65-69 years",41
"70-74 years",35
"75-79 years",31
"80-84 years",13
"85 years and over",19
"Age not stated",5
