Age,Number
"All ages",9006
"Under 1 year",9
"1-4 years",17
"5-9 years",28
"10-14 years",110
"15-19 years",1381
"20-24 years",2167
"25-29 years",1574
"30-34 years",1076
"35-39 years",842
"40-44 years",645
"45-49 years",445
"50-54 years",285
"55-59 years",172
"60-64 years",94
"65-69 years",58
"70-74 years",50
"75-79 years",23
"80-84 years",14
"85 years and over",9
"Age not stated",7
