Age,"Assault (homicide)"
"All ages",10801
"Under 1 year",12
"1-4 years",28
"5-9 years",50
"10-14 years",137
"15-19 years",1549
"20-24 years",2414
"25-29 years",1789
"30-34 years",1285
"35-39 years",1064
"40-44 years",842
"45-49 years",582
"50-54 years",377
"55-59 years",235
"60-64 years",132
"65-69 years",99
"70-74 years",85
"75-79 years",54
"80-84 years",27
"85 years and over",28
"Age not stated",12
