| Age   | 5th   | 10th  | 15th  | 25th  | 50th  | 75th  | 85th  | 90th  | 95th  |
| ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- |
| 8–11  | 0.439 | 0.459 | 0.47  | 0.488 | 0.524 | 0.56  | 0.586 | 0.6   | 0.621 |
| 12–15 | 0.499 | 0.523 | 0.539 | 0.569 | 0.624 | 0.692 | 0.725 | 0.756 | 0.795 |
| 16–19 | 0.621 | 0.643 | 0.659 | 0.689 | 0.741 | 0.802 | 0.838 | 0.865 | 0.904 |
| 20–29 | 0.618 | 0.645 | 0.665 | 0.694 | 0.747 | 0.807 | 0.834 | 0.859 | 0.899 |
| 30–39 | 0.603 | 0.628 | 0.648 | 0.671 | 0.726 | 0.788 | 0.822 | 0.845 | 0.888 |
| 40–49 | 0.592 | 0.618 | 0.639 | 0.667 | 0.722 | 0.778 | 0.812 | 0.836 | 0.865 |
| 50–59 | 0.577 | 0.605 | 0.623 | 0.65  | 0.704 | 0.763 | 0.795 | 0.817 | 0.852 |
| 60–69 | 0.558 | 0.595 | 0.612 | 0.646 | 0.693 | 0.756 | 0.796 | 0.824 | 0.856 |
| 70–79 | 0.539 | 0.563 | 0.583 | 0.607 | 0.666 | 0.729 | 0.758 | 0.782 | 0.814 |
| 80+   | 0.519 | 0.549 | 0.565 | 0.591 | 0.646 | 0.702 | 0.743 | 0.761 | 0.79  |
