Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",13923,33,0.4,29,4929,31,0.7,27,7770,34,0.5,30
"Under 6 years",3410,21,0.3,20,1564,22,0.5,21,1548,20,0.4,19
"6–11 years",1581,30,0.7,28,713,31,1,29,746,30,0.9,28
"12–19 years",1462,38,0.8,34,634,36,1.4,32,674,39,1,35
"20–59 years",5019,36,0.7,33,1390,35,1.2,30,3226,37,0.7,34
"60 years and over",2451,25,0.4,22,628,22,0.7,19,1576,26,0.4,23
