Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",13923,97,1.3,85,4929,89,1.7,78,7770,99,1.5,88
"Under 6 years",3410,55,1,50,1564,59,1.4,54,1548,53,1.1,48
"6–11 years",1581,82,2.1,77,713,85,2.9,80,746,81,2.6,76
"12–19 years",1462,108,2.4,99,634,103,3.2,93,674,110,3.1,101
"20–59 years",5019,108,1.9,98,1390,103,2.9,89,3226,110,1.9,101
"60 years and over",2451,76,1,69,628,66,2.5,57,1576,78,1.2,72
