| Age   | 5th  | 10th | 15th | 25th | 50th | 75th | 85th | 90th | 95th |
| ----- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- |
| 8–11  | 8.1  | 8.7  | 9.2  | 9.9  | 11.5 | 13.3 | 14.5 | 15.7 | 17.1 |
| 12–15 | 11.7 | 13   | 14   | 15.8 | 19.7 | 23.4 | 25.5 | 26.9 | 29.2 |
| 16–19 | 20.2 | 21.2 | 22   | 23.3 | 26   | 29.1 | 31.2 | 32.6 | 34.8 |
| 20–39 | 21.8 | 23.1 | 24.1 | 25.5 | 28.4 | 31.8 | 33.9 | 35.6 | 38.7 |
| 40–59 | 22.9 | 24.3 | 25.5 | 27   | 29.8 | 32.9 | 34.9 | 36.4 | 38.3 |
| 60–79 | 21.8 | 23.1 | 24.1 | 25.6 | 28.6 | 32   | 33.7 | 35.2 | 37.1 |
| 80+   | 19.8 | 21.3 | 22.1 | 23.5 | 25.4 | 27.7 | 29.6 | 30.7 | 32.3 |
| 20+   | 22   | 23.4 | 24.4 | 26   | 28.9 | 32.2 | 34.2 | 35.8 | 38.1 |
