Age,"Total : Sample size","Total : Mean","Total : Standard error","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error"
"All ages",13922,2.7,0.13,4929,2.1,0.2,7769,2.9,0.16
"Under 6 years",3410,–,–,1564,–,–,1548,–,–
"6–11 years",1581,–,–,713,–,–,746,–,–
"12–19 years",1461,0.9,0.19,634,0.8,0.28,673,1,0.2
"20–59 years",5019,3.9,0.19,1390,4.1,0.39,3226,3.9,0.23
"60 years and over",2451,2.9,0.35,628,1.9,0.57,1576,3.2,0.4
