| Age               | Median |
| ----------------- | ------ |
| All ages          | 298    |
| 2–11 months       | 104    |
| 1–2 years         | 190    |
| 3–5 years         | 207    |
| 6–11 years        | 247    |
| 12–15 years       | 269    |
| 16–19 years       | 309    |
| 20–29 years       | 331    |
| 30–39 years       | 343    |
| 40–49 years       | 341    |
| 50–59 years       | 345    |
| 60–69 years       | 308    |
| 70–79 years       | 283    |
| 80 years and over | 268    |
