Age,Mean
"8–11 years",224.54
"12–15 years",349.5
"16–19 years",387.67
"20–29 years",393.41
"30–39 years",396.88
"40–49 years",398.94
"50–59 years",379.82
"60–69 years",363.34
"70–79 years",326.96
"80 years and over",285.29
"20 years and over (age-adjusted)",379.61
