Age,"Standard error"
"All ages",0.1
"2–11 months",0.1
"1–2 years",0.11
"3–5 years",0.18
"6–11 years",0.31
"12–15 years",0.37
"16–19 years",0.3
"20–29 years",0.22
"30–39 years",0.22
"40–49 years",0.42
"50–59 years",0.42
"60–69 years",0.34
"70–79 years",0.21
"80 years and over",0.43
