"Percentage of poverty","Percent distribution","Standard error of percent"
"All visits",100,-
"Less than 5 percent",20.9,1.1
"5.00–9.99 percent",27.5,1.1
"10.00–19.99 percent",29.9,1.2
"20 percent of more",14.4,1.1
