Age,"Standard error of the mean"
"7-74 years",0.46
"7-11 years",0.85
"12-17 years",0.75
"18-24 years",1.05
"25-34 years",0.87
"35-44 years",1.08
"45-54 years",1.25
"55-64 years",1.48
"65-74 years",1.78
