Age,"Standard error of the mean"
"7-74 years",0.4
"7-11 years",0.67
"12-17 years",0.59
"18-24 years",0.8
"25-34 years",0.53
"35-44 years",0.7
"45-54 years",1.12
"55-64 years",1.41
"65-74 years",1.56
