Age,Mean
"7-74 years",79.6
"7-11 years",64.5
"12-17 years",69.6
"18-24 years",73.4
"25-34 years",78.6
"35-44 years",84.9
"45-54 years",87.1
"55-64 years",88
"65-74 years",86.8
"Age-adjusted value",78.5
