Age,Mean
"8–11 years",11.9
"12–15 years",19.8
"16–19 years",26.5
"20–39 years",29
"40–59 years",30.2
"60–79 years",29
"80 years and older",25.7
"20 years and older (crude)",29.4
"20 years and older (age adjusted)",29.3
