| Age   | Population in thousands |
| ----- | ----------------------- |
| 6     |                         |
| 7-11  | 9988                    |
| 7     | 1838                    |
| 8     | 1766                    |
| 9     | 1978                    |
| 10    | 2335                    |
| 11    | 2071                    |
| 12-17 | 12263                   |
| 12    | 1939                    |
| 13    | 2322                    |
| 14    | 2175                    |
| 15    | 2067                    |
| 16    | 2050                    |
| 17    | 1710                    |
| 18-74 | 67372                   |
| 18-24 | 12111                   |
| 25-34 | 13996                   |
| 35-44 | 11772                   |
| 45-54 | 12264                   |
| 55-64 | 9953                    |
| 65-74 | 7277                    |
| 40-74 | 35420                   |
