| Age   | Population in thousands |
| ----- | ----------------------- |
| 6     |                         |
| 7-11  | 20275                   |
| 7     | 4069                    |
| 8     | 3515                    |
| 9     | 3839                    |
| 10    | 4558                    |
| 11    | 4294                    |
| 12-17 | 25070                   |
| 12    | 4304                    |
| 13    | 4353                    |
| 14    | 4259                    |
| 15    | 4198                    |
| 16    | 4109                    |
| 17    | 3847                    |
| 18-74 | 127937                  |
| 18-24 | 23462                   |
| 25-34 | 26762                   |
| 35-44 | 22575                   |
| 45-54 | 23524                   |
| 55-64 | 18841                   |
| 65-74 | 12773                   |
| 40-74 | 66597                   |
