Age,"Population in thousands"
"6 years",
"7-11 years",20275
"7 years",4069
"8 years",3515
"9 years",3839
"10 years",4558
"11 years",4294
"12-17 years",25070
"12 years",4304
"13 years",4353
"14 years",4259
"15 years",4198
"16 years",4109
"17 years",3847
"18-74 years",127937
"18-24 years",23462
"25-34 years",26762
"35-44 years",22575
"45-54 years",23524
"55-64 years",18841
"65-74 years",12773
"40-74 years",66597
