Age,"Population in thousands"
"6 years",
"7-11 years",9988
"7 years",1838
"8 years",1766
"9 years",1978
"10 years",2335
"11 years",2071
"12-17 years",12263
"12 years",1939
"13 years",2322
"14 years",2175
"15 years",2067
"16 years",2050
"17 years",1710
"18-74 years",67372
"18-24 years",12111
"25-34 years",13996
"35-44 years",11772
"45-54 years",12264
"55-64 years",9953
"65-74 years",7277
"40-74 years",35420
