Age,"Northeast : Mean","Northeast : standard error","Northeast : standard deviation","Midwest : Mean","Midwest : standard error","Midwest : standard deviation","South : Mean","South : standard error","South : standard deviation","West : Mean","West : standard error","West : standard deviation"
"7-74 years",77.3,0.72,13.8,78.2,0.37,13.4,78.8,0.57,14.1,77,0.8,13.6
"7-11 years",63.1,1.19,8.8,65.2,0.44,9.2,66.3,1.34,10.4,64.3,1.65,10.7
"12-17 years",69.4,0.88,9.9,71,0.52,9.6,68.9,0.72,10.1,69.6,0.97,10
"18-24 years",74.2,1.06,11,74.3,0.72,9.6,74,0.57,10.3,73,0.89,10.7
"25-34 years",77.4,0.59,10.5,78.2,0.58,10.3,79,0.62,11,76.7,0.77,11.6
"35-44 years",81.6,0.78,12.7,82.6,0.74,11.7,83.4,0.99,13.1,82.2,0.66,11.6
"45-54 years",84.8,1.54,13.8,86.6,0.59,13.5,86.9,1.4,14.3,84.5,1.15,12.7
"55-64 years",85.4,1.24,12,87,0.53,13.5,87.9,0.83,12,86.7,0.97,12.4
"65-74 years",85.8,0.66,13.2,86.3,1.21,13,86.2,0.8,13.5,84.5,1.29,12.2
"Age-adjusted value",77.2,,,78.4,,,78.5,,,77.2,,
