| Age   | Mean  |
| ----- | ----- |
| 2     | 89.7  |
| 3     | 98.2  |
| 4     | 105.1 |
| 5     | 112.2 |
| 6     | 117.9 |
| 7     | 124.3 |
| 8     | 131.1 |
| 9     | 136.6 |
| 10    | 142.7 |
| 11    | 150.2 |
| 12    | 155.5 |
| 13    | 159.9 |
| 14    | 161.2 |
| 15    | 162.8 |
| 16    | 163.1 |
| 17    | 163.4 |
| 18    | 163.2 |
| 19    | 163.8 |
| 20+   | 161.8 |
| 20–29 | 162.7 |
| 30–39 | 163.4 |
| 40–49 | 162.8 |
| 50–59 | 161.8 |
| 60–69 | 160.2 |
| 70–79 | 158   |
| 80+   | 154.9 |
