Age,Mean
"2 years",89.7
"3 years",98.2
"4 years",105.1
"5 years",112.2
"6 years",117.9
"7 years",124.3
"8 years",131.1
"9 years",136.6
"10 years",142.7
"11 years",150.2
"12 years",155.5
"13 years",159.9
"14 years",161.2
"15 years",162.8
"16 years",163.1
"17 years",163.4
"18 years",163.2
"19 years",163.8
"20 years and older",161.8
"20–29 years",162.7
"30–39 years",163.4
"40–49 years",162.8
"50–59 years",161.8
"60–69 years",160.2
"70–79 years",158
"80 years and older",154.9
