Age,Mean
"2–2.49 years",16.54
"2.5–2.99 years",16.17
"3.0–3.49 years",16.04
"3.5–3.99 years",15.92
"4.0–4.49 years",15.86
"4.5–4.99 years",15.73
"5.0–5.49 years",15.79
"5.5–5.99 years",15.72
"6.0–6.49 years",15.61
"6.5–6.99 years",15.9
"7.0–7.49 years",15.8
"7.5–7.99 years",16
"8.0–8.49 years",16.06
"8.5–8.99 years",16.42
"9.0–9.49 years",16.84
"9.5–9.99 years",17.03
"10.0–10.49 years",17.2
"10.5–10.99 years",17.76
"11.0–11.49 years",17.98
"11.5–11.99 years",18.39
"12.0–12.49 years",18.48
"12.5–12.99 years",18.7
"13.0–13.49 years",19.11
"13.5–13.99 years",19.89
"14.0–14.49 years",19.87
"14.5–14.99 years",20.51
"15.0–15.49 years",20.5
"15.5–15.99 years",21.01
"16.0–16.49 years",21.48
"16.5–16.99 years",21.97
"17.0–17.49 years",21.84
"17.5–17.99 years",21.96
"18.0–18.49 years",23.22
"18.5–18.99 years",22.89
"19.0–19.49 years",23.31
"19.5–19.99 years",23.16
