| Age       | Mean  |
| --------- | ----- |
| 2.0-2.4   | 16.54 |
| 2.5-2.9   | 16.17 |
| 3.0-3.4   | 16.04 |
| 3.5-3.9   | 15.92 |
| 4.0-4.4   | 15.86 |
| 4.5-4.9   | 15.73 |
| 5.0-5.4   | 15.79 |
| 5.5-5.9   | 15.72 |
| 6.0-6.4   | 15.61 |
| 6.5-6.9   | 15.9  |
| 7.0-7.4   | 15.8  |
| 7.5-7.9   | 16    |
| 8.0-8.4   | 16.06 |
| 8.5-8.9   | 16.42 |
| 9.0-9.4   | 16.84 |
| 9.5-9.9   | 17.03 |
| 10.0-10.4 | 17.2  |
| 10.5-10.9 | 17.76 |
| 11.0-11.4 | 17.98 |
| 11.5-11.9 | 18.39 |
| 12.0-12.4 | 18.48 |
| 12.5-12.9 | 18.7  |
| 13.0-13.4 | 19.11 |
| 13.5-13.9 | 19.89 |
| 14.0-14.4 | 19.87 |
| 14.5-14.9 | 20.51 |
| 15.0-15.4 | 20.5  |
| 15.5-15.9 | 21.01 |
| 16.0-16.4 | 21.48 |
| 16.5-16.9 | 21.97 |
| 17.0-17.4 | 21.84 |
| 17.5-17.9 | 21.96 |
| 18.0-18.4 | 23.22 |
| 18.5-18.9 | 22.89 |
| 19.0-19.4 | 23.31 |
| 19.5-19.9 | 23.16 |
