"Cause of death","Percent of total deaths"
"All causes",100
"Diseases of heart",36.7
"Malignant neoplasms",15.5
"Cerebrovascular diseases",8.5
"Chronic lower respiratory diseases",5.5
"Influenza and pneumonia",5.1
"Alzheimer’s disease.",3
"Nephritis, nephrotic syndrome and nephrosis",2.2
"Accidents (unintentional injuries)",2.1
"Diabetes mellitus",2
"Pneumonitis due to solids and liquids",1.6
"All other causes",17.9
