| Age                | Sample size |
| ------------------ | ----------- |
| 8–11               | 1067        |
| 12–15              | 1726        |
| 16–19              | 1751        |
| 20–39              | 2183        |
| 40–59              | 2024        |
| 60–79              | 1851        |
| 80+                | 501         |
| 20+                | 6559        |
| 20+ (age adjusted) | 6559        |
