Age,"Standard error"
"All ages",11.4
"2–11 months",14.3
"1–2 years",16.5
"3–5 years",25.6
"6–11 years",27.6
"12–15 years",54.8
"16–19 years",45.5
"20–29 years",31
"30–39 years",31.2
"40–49 years",26.2
"50–59 years",33
"60–69 years",28
"70–79 years",17.7
"80 years and over",26.5
