Age,"Standard error"
"All ages",15.8
"2–11 months",9.6
"1–2 years",13.7
"3–5 years",22.2
"6–11 years",28.3
"12–15 years",48.9
"16–19 years",47.4
"20–29 years",30.5
"30–39 years",34.6
"40–49 years",30.5
"50–59 years",32.2
"60–69 years",26.1
"70–79 years",21.3
"80 years and over",28.6
