Age,Number
"All ages",24582
"Under 1 year",9
"1-4 years",28
"5-9 years",46
"10-14 years",256
"15-19 years",2323
"20-24 years",3583
"25-29 years",2796
"30-34 years",2207
"35-39 years",2207
"40-44 years",2156
"45-49 years",1770
"50-54 years",1488
"55-59 years",1071
"60-64 years",825
"65-69 years",783
"70-74 years",901
"75-79 years",900
"80-84 years",671
"85 years and over",549
"Age not stated",13
