Age,Number
"All ages",4081
"Under 1 year",4
"1-4 years",18
"5-9 years",24
"10-14 years",51
"15-19 years",283
"20-24 years",386
"25-29 years",369
"30-34 years",417
"35-39 years",511
"40-44 years",484
"45-49 years",376
"50-54 years",317
"55-59 years",218
"60-64 years",158
"65-69 years",140
"70-74 years",117
"75-79 years",94
"80-84 years",58
"85 years and over",51
"Age not stated",5
