Age,Number
"All ages",28663
"Under 1 year",13
"1-4 years",46
"5-9 years",70
"10-14 years",307
"15-19 years",2606
"20-24 years",3969
"25-29 years",3165
"30-34 years",2624
"35-39 years",2718
"40-44 years",2640
"45-49 years",2146
"50-54 years",1805
"55-59 years",1289
"60-64 years",983
"65-69 years",923
"70-74 years",1018
"75-79 years",994
"80-84 years",729
"85 years and over",600
"Age not stated",18
