| Age   | 5th  | 10th | 15th | 25th | 50th | 75th | 85th | 90th | 95th |
| ----- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- |
| 8–11  | 21.7 | 22.9 | 24.3 | 26.3 | 31.2 | 37.1 | 40.3 | 41.9 | 43.9 |
| 12–15 | 21.7 | 23.4 | 24.9 | 27.4 | 31.9 | 37.3 | 40.1 | 42   | 44.9 |
| 16–19 | 24.2 | 26.3 | 27.6 | 30   | 34   | 39.2 | 42.9 | 44.8 | 47.7 |
| 20–39 | 25.8 | 28.4 | 29.9 | 32.5 | 37.8 | 42.9 | 45.6 | 47.4 | 49.8 |
| 40–59 | 28.5 | 31.8 | 33.6 | 36.4 | 41   | 45.1 | 47.1 | 48.6 | 50.7 |
| 60–79 | 32.3 | 34.9 | 36.4 | 38.9 | 42.8 | 46.2 | 48   | 49.1 | 50.7 |
| 80+   | 29.8 | 32.7 | 34.3 | 36.9 | 41   | 44.4 | 46.3 | 47.5 | 48.9 |
| 20+   | 27.6 | 30.5 | 32.4 | 35.4 | 40.5 | 44.7 | 46.8 | 48.4 | 50.4 |
