Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",29105,111,1.2,99,10696,109,1.9,95,15771,112,1.3,100
"Under 6 years",6871,71,0.9,67,3145,75,1.5,71,3128,70,1.2,67
"6–11 years",3134,108,2.2,99,1446,111,2.6,105,1439,107,3,98
"12–19 years",3121,126,2.7,112,1345,123,3.9,113,1470,127,3.5,111
"20–59 years",10940,120,1.5,107,3329,123,3.1,106,6710,120,1.7,108
"60 years and over",5039,94,1.2,85,1431,85,2.6,77,3024,96,1.3,87
