Age,Median
"All ages",85
"2–11 months",22
"1–2 years",56
"3–5 years",70
"6–11 years",82
"12–15 years",87
"16–19 years",87
"20–29 years",91
"30–39 years",94
"40–49 years",92
"50–59 years",88
"60–69 years",80
"70–79 years",79
"80 years and over",73
