Age,"Sample size"
"2 years",508
"3 years",560
"4 years",527
"5 years",556
"6 years",274
"7 years",268
"8 years",245
"9 years",271
"10 years",255
"11 years",268
"12 years",231
"13 years",218
"14 years",217
"15 years",187
"16 years",202
"17 years",192
"18 years",169
"19 years",168
"20 years and older",8022
"20–29 years",1615
"30–39 years",1690
"40–49 years",1289
"50–59 years",957
"60–69 years",1071
"70–79 years",848
"80 years and older",552
