| Age   | Sample size |
| ----- | ----------- |
| 2     | 508         |
| 3     | 560         |
| 4     | 527         |
| 5     | 556         |
| 6     | 274         |
| 7     | 268         |
| 8     | 245         |
| 9     | 271         |
| 10    | 255         |
| 11    | 268         |
| 12    | 231         |
| 13    | 218         |
| 14    | 217         |
| 15    | 187         |
| 16    | 202         |
| 17    | 192         |
| 18    | 169         |
| 19    | 168         |
| 20+   | 8022        |
| 20–29 | 1615        |
| 30–39 | 1690        |
| 40–49 | 1289        |
| 50–59 | 957         |
| 60–69 | 1071        |
| 70–79 | 848         |
| 80+   | 552         |
