Age,"Sample size"
"2 years",522
"3 years",482
"4 years",539
"5 years",489
"6 years",279
"7 years",268
"8 years",260
"9 years",273
"10 years",293
"11 years",279
"12 years",201
"13 years",181
"14 years",185
"15 years",180
"16 years",191
"17 years",191
"18 years",169
"19 years",161
"20 years and older",7369
"20–29 years",1574
"30–39 years",1430
"40–49 years",1170
"50–59 years",815
"60–69 years",1091
"70–79 years",764
"80 years and older",525
