Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",16.2,17.7,18.8,20.7,26.2,33.6,38.8,40.2,43.3
"12–15 years",16.5,18.2,19.6,22.1,27.7,35.3,38.7,41.1,44.6
"16–19 years",19.1,21,22.4,24.6,30,37.3,41.7,44.5,47.6
"20–39 years",20.2,23.3,25.1,28.3,35.7,42.4,45.6,47.9,50.4
"40–59 years",23.1,27.2,29.9,34.1,40.2,44.7,47.2,49,51
"60–79 years",28.4,31.9,34.4,37.6,42.2,45.8,47.6,49,51.1
"80 years and older",24.2,28.2,30.9,34,39.3,43.2,45.1,46.5,48
"20 years and older (crude)",22.5,25.7,28.2,32.5,39.3,44.4,46.8,48.5,50.7
