| Age   | Standard error |
| ----- | -------------- |
| 8–11  | 15.66          |
| 12–15 | 21.64          |
| 16–19 | 21.17          |
| 20–29 | 27.18          |
| 30–39 | 28.25          |
| 40–49 | 30.15          |
| 50–59 | 29.04          |
| 60–69 | 28.41          |
| 70–79 | 27.01          |
| 80+   | 23.09          |
