| Age   | Standard error |
| ----- | -------------- |
| 8–11  | 17.77          |
| 12–15 | 19.16          |
| 16–19 | 20.23          |
| 20–29 | 22.42          |
| 30–39 | 25.34          |
| 40–49 | 25             |
| 50–59 | 24.74          |
| 60–69 | 24.81          |
| 70–79 | 24.7           |
| 80+   | 23.69          |
