| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 13.6               |
| 7-11 years  | 9.2                |
| 12-17 years | 9.9                |
| 18-24 years | 9.7                |
| 25-34 years | 11.3               |
| 35-44 years | 10.4               |
| 45-54 years | 15.1               |
| 55-64 years | 12.2               |
| 65-74 years | 13.8               |
